ID,Type,Name,Latitude,Longitude,addr:city,addr:country,addr:county,addr:floor,addr:housename,addr:housenumber,addr:place,addr:postcode,addr:street,addr:suburb,addr:village,alt_name,amenity,barrier,beds,building,building:colour,building:levels,building:material,check_date,contact:email,contact:facebook,contact:phone,contact:website,description,email,emergency,fax,fee,fhrs:authority,fhrs:confidence_management,fhrs:hygiene,fhrs:id,fhrs:inspectiondate,fhrs:local_authority_id,fhrs:rating,fhrs:structural,fixme,gnis:feature_id,healthcare,healthcare:for,healthcare:speciality,historic:operator,image,internet_access,internet_access:fee,internet_access:ssid,landuse,level,loc_name,long_name,mobile,name:ar,name:en,name:fr,name:uk,nohousenumber,not:addr:postcode,note,number,official_name,old_name,opening_hours,operator,operator:type,operator:website,operator:wikidata,payment:cash,payment:credit_cards,payment:debit_cards,phone,public,ref:GB:cqc_location,ref:GB:nhs_ods,ref:GB:uprn,reg_name,roof:colour,roof:levels,roof:shape,short_name,source,source:addr,source:addr:postcode,source:postcode,start_date,toilets:wheelchair,type,urgent_care,was:name,was:wikidata,was:wikipedia,website,wheelchair,wikidata,wikimedia_commons,wikipedia
10995777571,node,Macmillan Cancer Support Centres,51.3895435,-0.1115896,,,,,,,,,,,,,hospital,,,,,,,,,,,,,,,,,,,,,,,,,,,hospital,,,,,,,,,,,,,,,,,,,,,,,,Croydon University Hospital,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10995801768,node,Main Reception,51.3892531,-0.1111571,,,,,,,,,,,,,hospital,,,,,,,,,,,,,,,,,,,,,,,,,,,hospital,,,,,,,,,,,,,,,,,,,,,,,,Croydon University Hospital,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,
10995804162,node,Patient Advice and Liaison Service (PALS),51.388644,-0.108499,,,,,,,,,,,,,hospital,,,,,,,,,,,,,,,,,,,,,,,,,,,hospital,,,,,,,,,,,,,,,,,,,,,,,,Croydon University Hospital,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10995804163,node,Maternity Reception,51.3912926,-0.1110591,,,,,,,,,,,,,hospital,,,,,,,,,,,,,,,,,,,,,,,,,,,hospital,,,,,,,,,,,,,,,,,,,,,,,,Croydon University Hospital,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,
10995804164,node,Fertility Treatment,51.3911477,-0.1102788,,,,,,,,,,,,,hospital,,,,,,,,,,,,,,,,,,,,,,,,,,,hospital,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10995804171,node,Gynaecology Department,51.3905149,-0.1093613,,,,,,,,,,,,,hospital,,,,,,,,,,,,,,,,,,,,,,,,,,,hospital,,,,,,,,,,,,,,,,,,,,,,,,Croydon University Hospital,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10995804179,node,Women's Health Unit,51.3909333,-0.1110648,,,,,,,,,,,,,hospital,,,,,,,,,,,,,,,,,,,,,,,,,,,hospital,,,,,,,,,,,,,,,,,,,,,,,,Croydon University Hospital,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10995804180,node,Croydon Heart Centre,51.3887004,-0.11113,,,,,,,,,,,,,hospital,,,,,,,,,,,,,,,,,,,,,,,,,,,hospital,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10995804184,node,Dental Department,51.3902698,-0.1097438,,,,,,,,,,,,,hospital,,,,,,,,,,,,,,,,,,,,,,,,,,,hospital,,,,,,,,,,,,,,,,,,,,,,,,Croydon University Hospital,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10995804185,node,Dermatology Department,51.3904846,-0.1099614,,,,,,,,,,,,,hospital,,,,,,,,,,,,,,,,,,,,,,,,,,,hospital,,,,,,,,,,,,,,,,,,,,,,,,Croydon University Hospital,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10995804186,node,Diabetic Department,51.3886983,-0.108209,,,,,,,,,,,,,hospital,,,,,,,,,,,,,,,,,,,,,,,,,,,hospital,,,,,,,,,,,,,,,,,,,,,,,,Croydon University Hospital,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10995804187,node,MRI,51.3888297,-0.1088304,,,,,,,,,,,,,hospital,,,,,,,,,,,,,,,,,,,,,,,,,,,hospital,,,,,,,,,,,,,,,,,,,,,,,,Croydon University Hospital,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10995804195,node,Main X-Ray,51.3891088,-0.1087926,,,,,,,,,,,,,hospital,,,,,,,,,,,,,,,,,,,,,,,,,,,hospital,,,,,,,,,,,,,,,,,,,,,,,,Croydon University Hospital,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10995804196,node,Vascular Ultrasound,51.3891619,-0.1103441,,,,,,,,,,,,,hospital,,,,,,,,,,,,,,,,,,,,,,,,,,,hospital,,,,,,,,,,,,,,,,,,,,,,,,Croydon University Hospital,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,
10995804197,node,Wound Clinic,51.3890953,-0.1102589,,,,,,,,,,,,,hospital,,,,,,,,,,,,,,,,,,,,,,,,,,,hospital,,,,,,,,,,,,,,,,,,,,,,,,Croydon University Hospital,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10995804198,node,Moorfields Eye Unit,51.3893068,-0.1099839,,,,,,,,,,,,,hospital,,,,,,,,,,,,,,,,,,,,,,,,,,,hospital,,,,,,,,,,,,,,,,,,,,,,,,Croydon University Hospital,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10995804199,node,The Willows (Children's Clinic),51.389144,-0.1097382,,,,,,,,,,,,,hospital,,,,,,,,,,,,,,,,,,,,,,,,,,,hospital,,,,,,,,,,,,,,,,,,,,,,,,Croydon University Hospital,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10995804200,node,Day Surgery Unit (DSU),51.3898664,-0.1107072,,,,,,,,,,,,,hospital,,,,,,,,,,,,,,,,,,,,,,,,,,,hospital,,,,,,,,,,,,,,,,,,,,,,,,Croydon University Hospital,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10995811829,node,Emergency Department,51.3887022,-0.1092569,,,,,,,,,,,,,hospital,,,,,,,,,,,,,,,,,,,,,,,,,,,hospital,,,,,,,,,,,,,,,,,,,,,,,,Croydon University Hospital,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11170258999,node,King's College Hospital Emergency Department,51.4687588,-0.0927953,,,,,,,,,,,,,hospital,,,,,,,2025-10-21,,,,,,,yes,,,,,,,,,,,,,hospital,,emergency,,,no,,,,,,,,,,,,,,,,,,24/7,,public,,,,,,+44 20 3299 9000,,,,,,,,,,,,,,,,,,,,,https://kch.nhs.uk,yes,,,
12026398668,node,Dental Hospital,51.4691229,-0.0927114,,,,,,,,,,,,,hospital,,,,,,,2024-11-09,,,,,,,,,,,,,,,,,,,,hospital,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.kch.nhs.uk/patients-and-visitors/patients/dental-patients/,yes,,,
12187913901,node,Great Ormond Street Outpatients - Zebra and Hippo Clinic Areas,51.5216322,-0.1213221,London,,,,,60,,WC1N 3JH,Great Ormond Street,,,,hospital,,,,,,,,,,,,,,,,,,,,,,,,,,,hospital,,,,,wlan,,,,,,,,,,,,,,,,,,,,,,,,,,,,RP401,RP401,,,,,,,,,,,,,,,,,,https://www.gosh.nhs.uk/your-hospital-visit/outpatient-appointment/,,,,
12313941685,node,Hounslow Medical Centre,51.4694387,-0.3772728,,,,,,,,,,,,,hospital,,,,,,,,,,,,,,,,,,,,,,,,,,,hospital,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12601902086,node,National Hospital for Neurology and Neurosurgery at Cleveland Street,51.5196573,-0.1380023,London,,,,,25,,W1T 4AJ,Cleveland Street,,,,hospital,,,,,,,2026-03-05,,,,,,,,,,,,,,,,,,,,hospital,,neurology;neurosurgery,,,,,,,,,,,,,,,,,,,,,,NHS,public,,Q918396,,,,,,RRVCL,,,,,,,,,,,,,,,,,,,,,,,
12842417237,node,Medlabs Diagnostics,51.5208997,-0.1124702,,,,,,,,,,,,,hospital,,,,,,,,,,,,,,,,,,,,,,,,,,,hospital,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1-22084905984,,,,,,,,,,,,,,,,,,,,,,,
12873147549,node,Proton International @ UCLH,51.5238264,-0.1363481,London,,,,,1,,WC1E 6AS,Grafton Way,,,,hospital,,,,,,,,,,,,,,,,,,,,,,,,,,,hospital,,,,,,,,,,,,,,,,,,,,,,,,Proton International London Limited,,,,,,,,,1-14279687485,,,,,,,,,,,,,,,,,,,,,,,
12873147555,node,HCA Healthcare UK Laboratories,51.5225872,-0.1352478,London,,,,,2-10,,WC1E 6JA,Capper Street,,,,hospital,,,,,,,,,,,,,,,,,,,,,,,,,,,hospital,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1-11010280687,,,,,,,,,,,,,,,,,,,,,,,
12873180107,node,Optimal Vision,51.5199661,-0.1302119,London,,,,,7,,WC1E 6HA,Gower Mews,,,,hospital,,,,,,,,,,,,,,,,,,,,,,,,,,,hospital,,ophthalmology,,,,,,,,,,,,,,,,,,,,,,Optimal Vision Ltd,,,,,,,,,1-13932164067,,,,,,,,,,,,,,,,,,,,,,,
12873245976,node,Until SOHO,51.5145533,-0.1299683,London,,,,,111,,WC2H 0DT,Charing Cross Road,,,,hospital,,,,,,,2025-05-29,,,,,,,,,,,,,,,,,,,,hospital,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1-14429388915,,,,,,,,,,,,,,,,,,,,,,,
12875654728,node,Queen Square Imaging Centre,51.5217376,-0.1230571,,,,,,,,,,,,,hospital,,,,,,,,,,,,,,,,,,,,,,,,,,,hospital,,,,,,,,,,,,,,,,,,,,,,,,Q.S. Enterprises Limited,,,,,,,,,1-1353988292,,,,,,,,,,,,,,,,,,,,,,,
12886273770,node,Tunica Diagnostics,51.5145501,-0.1300121,London,,,,,111,,WC2H 0DT,Charing Cross Road,,,,hospital,,,,,,,,,,,,,,,,,,,,,,,,,,,hospital,,diagnostics,,,,,,,,,,,,,,,,,,,,,,Tunica Diagnostics ltd,,,,,,,,,1-15125385272,,,,,,,,,,,,,,,,,,,,,,,
12924662500,node,Clinical Research Facility,51.5227136,-0.1360165,London,,,,,170,,W1T 7HA,Tottenham Court Road,,,,hospital,,,,,,,2025-06-18,,,,,,,,,,,,,,,,,,,,hospital,,,,,,,,,,,National Institute for Health and Care Research UCLH Clinical Research Facility,,,,,,,,,,,,,University College London Hospitals NHS Foundation Trust,,,,,,,,,RRVCR,,,,,,,,,,,,,,,,,,,,,,,
13006104317,node,Sleep & Health Clinic,51.5234503,-0.1403723,London,,,,Saint Luke's House,13-14,,,Fitzroy Square,,,,hospital,,,,,,,,,,,,,,,,,,,,,,,,,,,hospital,,,,,,,,,,,,,,,,,,,,,,,,Sleep & Health Clinic ltd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13262025383,node,"Neonatal Unit, L1 Z2",51.5229852,0.0367652,London,,,,"Newham Neonatal Unit, 1st Floor, Zone 2",,,E13 8SL,Glen Road,,,,hospital,,,,,,,,,,,,,,no,,,,,,,,,,,,,hospital,,neonatology,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13262504860,node,A&E Department,51.5229803,0.0343603,,,,,,,,,,,,,hospital,,,,,,,,,,,,,,yes,,,,,,,,,,,,,hospital,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13262504861,node,Rainbow Ward,51.5233041,0.0350684,,,,,,,,,,,,,hospital,,,,,,,,,,,,,,,,,,,,,,,,,,,hospital,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13436406358,node,Moorfields at Hoxton,51.5346809,-0.0898754,London,,,,,1 & 5,,N1 7TX,Bracklyn Street,,,,hospital,,,,,,,,,,,,,,,,,,,,,,,,,,,hospital,,ophthalmology,,,,,,,,,,,,,,,,,,,,,,Moorfields Eye Hospital,public,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.moorfields.nhs.uk/locations/moorfields-hoxton,,,,
13578306554,node,London kiritimati Hospital,1.9878852,-157.4718277,,,,,,,,,,,,,hospital,,,,,,,,,,,,,,,,,,,,,,,,,,,hospital,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4211785,way,St Ann's Hospital,51.5802183,-0.0883215,London,GB,,,,,,N15 3TH,St Ann's Road,,,,hospital,,,,,,,,,,,,,,no,,,,,,,,,,,,,hospital,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Q7592462,,en:St Ann's Hospital
4271138,way,North Middlesex University Hospital,51.613284,-0.0735435,,,,,,,,,,,,North Middlesex Hospital,hospital,,,,,,,,,,,,,,yes,,,,,,,,,,,,,hospital,,,,,,,,,,North Mid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.royalfree.nhs.uk/our-locations/north-middlesex-university-hospital,,Q7056104,,en:North Middlesex University Hospital
4356408,way,The Wilson Hospital,51.3975104,-0.1631461,Mitcham,GB,,,,,,CR4 4TP,Cranmer Road,,,,hospital,,,,,,,,,,,,,,,,,,,,,,,,,,,hospital,,,,,,,,,,The Wilson,,,,,,,,,,,,,,NHS,public,,Q918396,,,,+44 20 8648 3021,,,,,,,,,,,,,,,,,,,,,https://www.clch.nhs.uk/locations/wilson-hospital.aspx,,,,
4363883,way,Hammersmith Hospital,51.5173881,-0.235288,,,,,,,,,,,,,hospital,,,,,,,,,,,,,,,,,,,,,,,,,,,hospital,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,Q5645747,,
4379364,way,Barnet Hospital,51.6509125,-0.2145599,Barnet,,,,,,,EN5 3DJ,Wellhouse Lane,,,,hospital,,,,,,,,,,,,,,yes,,,,,,,,,,,,,hospital,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Q4861607,,
4536914,way,St George's Hospital,51.4264422,-0.1752072,London,,,,,,,SW17 0QT,Blackshaw Road,,,,hospital,,1300,,,,,,,,+44 20 8672 1255,http://www.stgeorges.nhs.uk,,,yes,,,,,,298392,,,,,,,hospital,,general;emergency;trauma;neurology;intensive;gynaecology;cardiology;anaesthetics,,,,,,,,,,,,,,,,,,,,,,St George's University Hospitals NHS Foundation Trust,public,,Q7593174,,,,,,,,,,,,,,,FHRS Open Data,,,,,,,,,,,,Q3495316,,en:St George's Hospital
4822314,way,St. Helier Hospital,51.3803771,-0.1845767,Carshalton,,,,,,,SM5 1AA,Wrythe Lane,,,,hospital,,,,,,,2025-10-13,,,,,,,yes,,,,,,,,,,,,,hospital,,,,,,,,,,,,,,,,,,,,,,,,Epsom and St Helier University Hospitals NHS Trust,public,,,,,,+44 20 8296 2000,,,,,,,,,,,,,,,,,,,,,https://www.epsom-sthelier.nhs.uk/,yes,Q7593367,,
4907493,way,Barnes Hospital,51.4672064,-0.2558588,London,,,,,,,SW14 8SU,South Worple Way,,,,hospital,,,,,,,,,,,,,,,,,,,,,,,,,,,hospital,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Q16983704,,"en:Barnes Hospital, London"
6134866,way,Northwick Park Hospital,51.5753346,-0.3215253,Harrow,GB,,,Northwick Park Hospital,,,HA1 3UJ,Watford Road,,,,hospital,,,,,,,,,,,,,,yes,,,,,,,,,,,,,hospital,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,+44 20 8864 3232,,,,,,,,,,,,,,,,,,,,,,yes,Q7060443,,en:Northwick Park Hospital
7954585,way,Queen Mary's Hospital,51.4187458,0.1039333,,,,,,,,DA14 6LT,Frognal Avenue,,,,hospital,,,,,,,,,,,,,,,,,,,,765937,,,,,,,hospital,,,,,,,,industrial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FHRS Open Data,,,,,,,,,,,,Q7270448,,
20259708,way,St Mark's,51.575993,-0.3201695,,,,,,,,,,,,,hospital,,,,,,,,,,,,,,,,,,,,,,,,,,,hospital,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Q7589963,,
23088561,way,Tolworth Hospital,51.3794911,-0.2891912,Surbiton,GB,,,,,,KT6 7QU,Red Lion Road,,,,hospital,,,,,,,,,,,,,,no,,,,,,,,,,,,,hospital,,,,https://commons.wikimedia.org/wiki/File:Tolworth_Hospital_sign.jpg,,,,,,,,,,,,,,,,,,,,NHS,,,,,,,+44 20 3513 5000,,,,,,,,,,,,,,,,,,,,,https://www.swlstg.nhs.uk/,,Q30292891,,
23109454,way,Kingston Hospital,51.4149164,-0.2826846,Kingston upon Thames,,,,,,,KT2 7QB,Galsworthy Road,,,,hospital,,,,,,,,,,,,,,yes,,,,,,1385880,,,,,,,hospital,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RAX01,,,,,,,,,FHRS Open Data,,,,,,,,,,,,Q50517755,,
24414388,way,Finchley Memorial Hospital,51.60561,-0.1770117,,,,,,,,,,,,,hospital,,,,,,,,,,,,,,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Q28404845,,en:Finchley Memorial Hospital
24437604,way,Chase Farm Hospital,51.6670768,-0.10256,,,,,,,,,,,,,hospital,,,,,,,,,,,,,,no,,,,,,,,,,,,,hospital,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.royalfree.nhs.uk/chase-farm-hospital/,yes,Q5087127,,en:Chase Farm Hospital
24437660,way,St Michael's Community Hospital,51.6620161,-0.0839186,,,,,,,,,,,,,hospital,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24525110,way,St Anthony's,51.3798987,-0.220725,Sutton,,,,,,,SM3 9DW,,,,,hospital,,,hospital,,,,,,,,,,,,,,,,,,,,,,,,hospital,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Q16900532,,"en:St Anthony's Hospital, North Cheam"
24648544,way,Central Middlesex Hospital,51.5314837,-0.2676149,London,,,,,,,NW10 7NS,Acton Lane,,,,hospital,,,,,,,,,,,,,,yes,,,,,,,,,,,,,hospital,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,+44 20 8965 5733,,,,,,,,,,,,,,,,,,,,,https://www.lnwh.nhs.uk/central-middlesex-hospital/,,Q5061433,,
24787431,way,Lambeth Hospital,51.4653315,-0.1224959,London,,,,,108,,SW9 9NU,Landor Road,,,,hospital,,,,,,,,,,,,,,,,,Lambeth,,,484248,2014-02-03,,4,,,,hospital,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Q6481446,,
26617656,way,Croydon University Hospital,51.3901236,-0.1100563,Thornton Heath,,,,,530,,CR7 7YE,London Road,,,Mayday Hospital,hospital,,670,,,,,,,,,,,,yes,,,Croydon,,,370621;918528,,,,,,,hospital,,,,,,,,,,,,,,,,,,,,,,,24/7,,,,,,,,,,,,,,,,,,,,,FSA Food Hygiene Ratings database,,,,,,,,,,Q5189706,,
26730443,way,West Middlesex Hospital,51.4730783,-0.3244097,,,,,,,,,Twickenham Road,,,,hospital,,,,,,,,,,,,,,,,,,,,,,,,,,,hospital,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,Q7985920,,en:West Middlesex University Hospital
27219238,way,Norbury Health Centre,51.4049847,-0.1203608,,,,,,,,,,,,,hospital,,,,,,,2024-04-02,,,,,,,,,,,,,,,,,,,,hospital,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,photo,,,,,,,,,,,,,,,
28226427,way,"Royal National Throat, Nose and Ear Hospital",51.5292405,-0.1192676,London,,,,,330-332,,WC1X 8EE,Gray's Inn Road,,,,hospital,,,yes,,,,,,,,,,,,,,,,,,,,,,,,hospital,,,,,,,,,,,,,,,,,,,"Most Royal National ENT Hospital services have moved to 47-49 Huntley Street, along with Eastman Dental Hospital. This site will contain wards and some other services until 2020 but the main move has now happened.",,,,,,,,,,,,,,,,,,,,,,https://www.uclh.nhs.uk/OurServices/OurHospitals/RNENTD/Pages/Home.aspx;https://www.uclh.nhs.uk/aboutus/NewDev/phase5/Pages/Anewworldleadingcentre.aspx;https://www.uclh.nhs.uk/OurServices/OurHospitals/RNTNE/Pages/Home.aspx,,,,,,,,,,,,,Q7374519,"Category:Royal National Throat, Nose and Ear Hospital","en:Royal National Throat, Nose and Ear Hospital"
31636962,way,St Charles' Hospital,51.5222211,-0.2176095,,,,,,,,,,,,,hospital,,,,,,,2025-09-12,,,,,,,,,,,,,,,,,,,,hospital,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Q27081429,,
31927218,way,Hillingdon Hospital,51.5255502,-0.4614635,Uxbridge,,,,,,,UB8 3NN,Pield Heath Road,,,,hospital,,,,,,,,,,,,,,yes,,,,,,,,,,,,,hospital,,,,,,,,,,,,,,,,,,,,,,,,The Hillingdon Hospitals NHS Trust,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Q5763292,,
32612277,way,Newham University Hospital,51.5216743,0.0366399,,,,,,,,,,,,Newham General Hospital,hospital,,430,,,,,,,,,,,,,,,,,,,,,,,,,hospital,,,Newham University Hospital Trust,,,,,,,,,,,,,,,,,,,,24/7,Barts Health NHS Trust,,,,,,,,,R1HNH,,,,,,,,,,,,,,,,,,,https://www.bartshealth.nhs.uk/our-hospitals/newham-university-hospital/,,Q7018154,,en:Newham University Hospital
35776498,way,Bethlem Royal Hospital,51.3826284,-0.0316828,Beckenham,,,,,,,BR3 3BX,,,,,hospital,,,,,,,,,,,,,,,,,,,,,,,,,,,hospital,,,,,,,,,,,,,,,,Бедлам,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Q831377,,en:Bethlem Royal Hospital
35781504,way,Queen Mary's Hospital,51.4549711,-0.2416041,London,,,,,171,,SW15 5PN,Roehampton Lane,,,,hospital,,,,,,,,,,,,,,no,,,Wandsworth,,,1572393,,PI/000457125,,,,,hospital,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,local_knowledge,FHRS Open Data,,,,,,,,,,,,Q7270446,,"en:Queen Mary's Hospital, Roehampton"
